iteration=1|loss_val=0.670799970626831|acc_val=None|prec_val=0.02605540119111538|rec_val=5.211212283029454e-06|jaccard_val=0.05220680311322212|dice_val=0.09886936843395233|loss=0.6817194223403931|acc=None|prec=0.03056494891643524|rec=0.00030978795257396996|jaccard=0.0551186129450798|dice=0.10383471846580505|time=111.38411450386047
iteration=2|loss_val=0.6497424244880676|acc_val=None|prec_val=0.05416666343808174|rec_val=1.4325855772767682e-06|jaccard_val=0.04852590709924698|dice_val=0.09211624413728714|loss=0.6608720421791077|acc=None|prec=0.04654834419488907|rec=3.716953187904437e-06|jaccard=0.0562528595328331|dice=0.10572831332683563|time=13.464970588684082
iteration=3|loss_val=0.6295788288116455|acc_val=None|prec_val=0.04374999552965164|rec_val=1.5044704468891723e-06|jaccard_val=0.04805722087621689|dice_val=0.09134578704833984|loss=0.640788733959198|acc=None|prec=0.03083333559334278|rec=1.0072493523693993e-06|jaccard=0.05593211576342583|dice=0.10506980866193771|time=13.600486278533936
iteration=4|loss_val=0.6106234192848206|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04888283461332321|dice_val=0.09286080300807953|loss=0.6220441460609436|acc=None|prec=0.014999998733401299|rec=2.425766751912306e-07|jaccard=0.05773548036813736|dice=0.10825905948877335|time=12.987912893295288
iteration=5|loss_val=0.5920079350471497|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04804154112935066|dice_val=0.09140467643737793|loss=0.6032882332801819|acc=None|prec=0.0|rec=0.0|jaccard=0.056138839572668076|dice=0.10552733391523361|time=12.91154170036316
iteration=6|loss_val=0.574714183807373|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04965192824602127|dice_val=0.09423207491636276|loss=0.5860945582389832|acc=None|prec=0.0|rec=0.0|jaccard=0.057351041585206985|dice=0.10769152641296387|time=12.748812437057495
iteration=7|loss_val=0.5579519867897034|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04908882454037666|dice_val=0.0932684913277626|loss=0.5691551566123962|acc=None|prec=0.0|rec=0.0|jaccard=0.05633760988712311|dice=0.10592041909694672|time=13.42494797706604
iteration=8|loss_val=0.5410720705986023|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.047226570546627045|dice_val=0.08985418826341629|loss=0.5531755685806274|acc=None|prec=0.0|rec=0.0|jaccard=0.05672486871480942|dice=0.10651781409978867|time=13.795408010482788
iteration=9|loss_val=0.5245920419692993|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.0448962040245533|dice_val=0.08560818433761597|loss=0.5386005640029907|acc=None|prec=0.0|rec=0.0|jaccard=0.05775098502635956|dice=0.10845905542373657|time=13.6710684299469
iteration=10|loss_val=0.511635422706604|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04846842959523201|dice_val=0.09217626601457596|loss=0.5225962400436401|acc=None|prec=0.0|rec=0.0|jaccard=0.055226150900125504|dice=0.10408919304609299|time=13.73617148399353
iteration=11|loss_val=0.49547624588012695|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04528221860527992|dice_val=0.08635130524635315|loss=0.5092436075210571|acc=None|prec=0.0|rec=0.0|jaccard=0.05609363690018654|dice=0.10552437603473663|time=13.898093938827515
iteration=12|loss_val=0.48396971821784973|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04839077219367027|dice_val=0.09191954135894775|loss=0.49539148807525635|acc=None|prec=0.0|rec=0.0|jaccard=0.05520312488079071|dice=0.10395921766757965|time=13.619499206542969
iteration=13|loss_val=0.47023043036460876|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04702714830636978|dice_val=0.08956597745418549|loss=0.48265746235847473|acc=None|prec=0.0|rec=0.0|jaccard=0.05504131317138672|dice=0.10363665223121643|time=13.637259006500244
iteration=14|loss_val=0.4585525095462799|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04802871495485306|dice_val=0.09140053391456604|loss=0.4695931673049927|acc=None|prec=0.0|rec=0.0|jaccard=0.05417638644576073|dice=0.10215608775615692|time=13.169358730316162
iteration=15|loss_val=0.44546279311180115|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.046399958431720734|dice_val=0.08848829567432404|loss=0.457689106464386|acc=None|prec=0.0|rec=0.0|jaccard=0.053970858454704285|dice=0.10182441771030426|time=13.602602005004883
iteration=16|loss_val=0.43540191650390625|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04791589826345444|dice_val=0.09116987138986588|loss=0.44714343547821045|acc=None|prec=0.0|rec=0.0|jaccard=0.05423310771584511|dice=0.10230741649866104|time=13.025631427764893
iteration=17|loss_val=0.42469534277915955|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04749432951211929|dice_val=0.09033853560686111|loss=0.434716135263443|acc=None|prec=0.0|rec=0.0|jaccard=0.05260618031024933|dice=0.09933453798294067|time=13.147324800491333
iteration=18|loss_val=0.41162794828414917|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04444653168320656|dice_val=0.08481476455926895|loss=0.4264041781425476|acc=None|prec=0.0|rec=0.0|jaccard=0.054326966404914856|dice=0.10248365253210068|time=13.062978506088257
iteration=19|loss_val=0.4051651060581207|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04789751395583153|dice_val=0.09111753851175308|loss=0.41636165976524353|acc=None|prec=0.0|rec=0.0|jaccard=0.053211361169815063|dice=0.10054203122854233|time=13.322787761688232
iteration=20|loss_val=0.39445212483406067|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04644542932510376|dice_val=0.08856699615716934|loss=0.4036436378955841|acc=None|prec=0.0|rec=0.0|jaccard=0.050620656460523605|dice=0.09586265683174133|time=13.228352308273315
iteration=21|loss_val=0.38420143723487854|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04583016782999039|dice_val=0.087357297539711|loss=0.3977045714855194|acc=None|prec=0.0|rec=0.0|jaccard=0.052863579243421555|dice=0.09991449117660522|time=13.197232007980347
iteration=22|loss_val=0.37480515241622925|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.044565536081790924|dice_val=0.08510646969079971|loss=0.3871156573295593|acc=None|prec=0.0|rec=0.0|jaccard=0.05068346858024597|dice=0.0959685891866684|time=12.937299966812134
iteration=23|loss_val=0.3668043911457062|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.044521428644657135|dice_val=0.08497480303049088|loss=0.3820231854915619|acc=None|prec=0.0|rec=0.0|jaccard=0.0526842325925827|dice=0.0995568335056305|time=13.68197226524353
iteration=24|loss_val=0.3576167821884155|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04359903186559677|dice_val=0.0833834856748581|loss=0.3722155690193176|acc=None|prec=0.0|rec=0.0|jaccard=0.05086387321352959|dice=0.09631919115781784|time=13.126776695251465
iteration=25|loss_val=0.35249704122543335|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.0452800989151001|dice_val=0.08642749488353729|loss=0.3625743091106415|acc=None|prec=0.0|rec=0.0|jaccard=0.049338120967149734|dice=0.09361812472343445|time=13.071407794952393
iteration=26|loss_val=0.3458409309387207|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04583524912595749|dice_val=0.08746717870235443|loss=0.3575413227081299|acc=None|prec=0.0|rec=0.0|jaccard=0.05058437958359718|dice=0.09583915024995804|time=13.47690224647522
iteration=27|loss_val=0.33684656023979187|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04374755918979645|dice_val=0.08362573385238647|loss=0.35005292296409607|acc=None|prec=0.0|rec=0.0|jaccard=0.04965789243578911|dice=0.09420635551214218|time=13.12877368927002
iteration=28|loss_val=0.3320176303386688|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.045070938766002655|dice_val=0.08608970046043396|loss=0.34405410289764404|acc=None|prec=0.0|rec=0.0|jaccard=0.04992213100194931|dice=0.09472417831420898|time=12.930017232894897
iteration=29|loss_val=0.32298192381858826|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04280925542116165|dice_val=0.08193625509738922|loss=0.3369738459587097|acc=None|prec=0.0|rec=0.0|jaccard=0.04935295507311821|dice=0.09367461502552032|time=13.09142780303955
